Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
comp533.mapper.SumMapper,sum:mapper,@IntSummingMapperClass,int:summing:mapper:class,map,map,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class,Integer,integer,java.lang.Integer,integer,parseInt,parse:int
comp533.mapper.SumMapper,sum:mapper,@IntSummingMapperClass,int:summing:mapper:class,map,map,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class,java.util.List,list,java.util.List,list,add,add
comp533.mapper.SumMapper,sum:mapper,@IntSummingMapperClass,int:summing:mapper:class,map,map,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,traceMap,trace:map
comp533.reducer.Reducer,reducer,@ReducerClass,reducer:class,reduce,reduce,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class,java.util.HashMap,hash:map,java.util.HashMap,hash:map,HashMap,hash:map
comp533.reducer.Reducer,reducer,@ReducerClass,reducer:class,reduce,reduce,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class,comp533.keyValue.KeyValueInterface,key:value:interface,@KeyValueClass,key:value:class,getKey,get:key
comp533.reducer.Reducer,reducer,@ReducerClass,reducer:class,reduce,reduce,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class,comp533.keyValue.KeyValueInterface,key:value:interface,@KeyValueClass,key:value:class,getValue,get:value
comp533.reducer.Reducer,reducer,@ReducerClass,reducer:class,reduce,reduce,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class,java.util.Map,map,java.util.Map,map,containsKey,contains:key
comp533.reducer.Reducer,reducer,@ReducerClass,reducer:class,reduce,reduce,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class,java.util.Map,map,java.util.Map,map,get,get
comp533.reducer.Reducer,reducer,@ReducerClass,reducer:class,reduce,reduce,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class,java.util.Map,map,java.util.Map,map,put,put
comp533.reducer.Reducer,reducer,@ReducerClass,reducer:class,reduce,reduce,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class,java.util.Map,map,java.util.Map,map,put,put
comp533.reducer.Reducer,reducer,@ReducerClass,reducer:class,reduce,reduce,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,traceReduce,trace:reduce
comp533.model.SumModel,sum:model,SumModel,sum:model,getSumMapper,get:sum:mapper,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass:AMapReduceTracer:@ModelClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class:a:map:reduce:tracer:model:class,comp533.mapper.SumMapper,sum:mapper,@IntSummingMapperClass,int:summing:mapper:class,SumMapper,sum:mapper
comp533.model.SumModel,sum:model,SumModel,sum:model,setInputString,set:input:string,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass:AMapReduceTracer:@ModelClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class:a:map:reduce:tracer:model:class,java.beans.PropertyChangeEvent,property:change:event,java.beans.PropertyChangeEvent,property:change:event,PropertyChangeEvent,property:change:event
comp533.model.SumModel,sum:model,SumModel,sum:model,setInputString,set:input:string,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass:AMapReduceTracer:@ModelClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class:a:map:reduce:tracer:model:class,comp533.view.TokenCounterView,token:counter:view,@ViewClass,view:class,propertyChange,property:change
comp533.model.SumModel,sum:model,SumModel,sum:model,setInputString,set:input:string,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass:AMapReduceTracer:@ModelClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class:a:map:reduce:tracer:model:class,java.beans.PropertyChangeSupport,property:change:support,java.beans.PropertyChangeSupport,property:change:support,firePropertyChange,fire:property:change
comp533.model.SumModel,sum:model,SumModel,sum:model,computeResultMapReduce,compute:result:map:reduce,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass:AMapReduceTracer:@ModelClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class:a:map:reduce:tracer:model:class,String,string,java.lang.String,string,split,split
comp533.model.SumModel,sum:model,SumModel,sum:model,computeResultMapReduce,compute:result:map:reduce,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass:AMapReduceTracer:@ModelClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class:a:map:reduce:tracer:model:class,java.util.Arrays,arrays,java.util.Arrays,arrays,asList,as:list
comp533.model.SumModel,sum:model,SumModel,sum:model,computeResultMapReduce,compute:result:map:reduce,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass:AMapReduceTracer:@ModelClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class:a:map:reduce:tracer:model:class,comp533.mapper.SumMapper,sum:mapper,@IntSummingMapperClass,int:summing:mapper:class,SumMapper,sum:mapper
comp533.model.SumModel,sum:model,SumModel,sum:model,computeResultMapReduce,compute:result:map:reduce,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass:AMapReduceTracer:@ModelClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class:a:map:reduce:tracer:model:class,comp533.mapper.MapperInterface,mapper:interface,@IntSummingMapperClass+@TokenCountingMapperClass,int:summing:mapper:class:token:counting:mapper:class,map,map
comp533.model.SumModel,sum:model,SumModel,sum:model,computeResultMapReduce,compute:result:map:reduce,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass:AMapReduceTracer:@ModelClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class:a:map:reduce:tracer:model:class,comp533.reducer.Reducer,reducer,@ReducerClass,reducer:class,Reducer,reducer
comp533.model.SumModel,sum:model,SumModel,sum:model,computeResultMapReduce,compute:result:map:reduce,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass:AMapReduceTracer:@ModelClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class:a:map:reduce:tracer:model:class,comp533.reducer.ReducerInterface,reducer:interface,@ReducerClass,reducer:class,reduce,reduce
comp533.model.SumModel,sum:model,SumModel,sum:model,computeResultMapReduce,compute:result:map:reduce,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass:AMapReduceTracer:@ModelClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class:a:map:reduce:tracer:model:class,java.beans.PropertyChangeEvent,property:change:event,java.beans.PropertyChangeEvent,property:change:event,PropertyChangeEvent,property:change:event
comp533.model.SumModel,sum:model,SumModel,sum:model,computeResultMapReduce,compute:result:map:reduce,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass:AMapReduceTracer:@ModelClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class:a:map:reduce:tracer:model:class,comp533.view.TokenCounterView,token:counter:view,@ViewClass,view:class,propertyChange,property:change
comp533.model.SumModel,sum:model,SumModel,sum:model,computeResultMapReduce,compute:result:map:reduce,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass:AMapReduceTracer:@ModelClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class:a:map:reduce:tracer:model:class,java.beans.PropertyChangeSupport,property:change:support,java.beans.PropertyChangeSupport,property:change:support,firePropertyChange,fire:property:change
comp533.RunSpring22Assignment1Tests,run:spring:assignment:tests,RunSpring22Assignment1Tests,run:spring:assignment:tests,main,main,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass:AMapReduceTracer:@ModelClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class:a:map:reduce:tracer:model:class,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,setTracerShowInfo,set:tracer:show:info
comp533.RunSpring22Assignment1Tests,run:spring:assignment:tests,RunSpring22Assignment1Tests,run:spring:assignment:tests,main,main,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass:AMapReduceTracer:@ModelClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class:a:map:reduce:tracer:model:class,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,setBufferTracedMessages,set:buffer:traced:messages
comp533.RunSpring22Assignment1Tests,run:spring:assignment:tests,RunSpring22Assignment1Tests,run:spring:assignment:tests,main,main,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass:AMapReduceTracer:@ModelClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class:a:map:reduce:tracer:model:class,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,setMaxPrintedTraces,set:max:printed:traces
comp533.RunSpring22Assignment1Tests,run:spring:assignment:tests,RunSpring22Assignment1Tests,run:spring:assignment:tests,main,main,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass:AMapReduceTracer:@ModelClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class:a:map:reduce:tracer:model:class,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,setMaxTraces,set:max:traces
comp533.RunSpring22Assignment1Tests,run:spring:assignment:tests,RunSpring22Assignment1Tests,run:spring:assignment:tests,main,main,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass:AMapReduceTracer:@ModelClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class:a:map:reduce:tracer:model:class,grader.basics.execution.BasicProjectExecution,basic:project:execution,grader.basics.execution.BasicProjectExecution,basic:project:execution,setProcessTimeOut,set:process:time:out
comp533.RunSpring22Assignment1Tests,run:spring:assignment:tests,RunSpring22Assignment1Tests,run:spring:assignment:tests,main,main,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass:AMapReduceTracer:@ModelClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class:a:map:reduce:tracer:model:class,gradingTools.comp533s22.assignment1.S22Assignment1Suite,assignment:suite,gradingTools.comp533s22.assignment1.S22Assignment1Suite,assignment:suite,main,main
comp533.controller.TokenCounterController,token:counter:controller,@ControllerClass,controller:class,getUserInput,get:user:input,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass:AMapReduceTracer:@ModelClass:AMapReduceTracer,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class:a:map:reduce:tracer:model:class:a:map:reduce:tracer,java.util.Scanner,scanner,java.util.Scanner,scanner,Scanner,scanner
comp533.controller.TokenCounterController,token:counter:controller,@ControllerClass,controller:class,getUserInput,get:user:input,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass:AMapReduceTracer:@ModelClass:AMapReduceTracer,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class:a:map:reduce:tracer:model:class:a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,traceNumbersPrompt,trace:numbers:prompt
comp533.controller.TokenCounterController,token:counter:controller,@ControllerClass,controller:class,getUserInput,get:user:input,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass:AMapReduceTracer:@ModelClass:AMapReduceTracer,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class:a:map:reduce:tracer:model:class:a:map:reduce:tracer,java.util.Scanner,scanner,java.util.Scanner,scanner,nextLine,next:line
comp533.controller.TokenCounterController,token:counter:controller,@ControllerClass,controller:class,getUserInput,get:user:input,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass:AMapReduceTracer:@ModelClass:AMapReduceTracer,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class:a:map:reduce:tracer:model:class:a:map:reduce:tracer,String,string,java.lang.String,string,equals,equals
comp533.controller.TokenCounterController,token:counter:controller,@ControllerClass,controller:class,getUserInput,get:user:input,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass:AMapReduceTracer:@ModelClass:AMapReduceTracer,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class:a:map:reduce:tracer:model:class:a:map:reduce:tracer,java.util.Scanner,scanner,java.util.Scanner,scanner,close,close
comp533.controller.TokenCounterController,token:counter:controller,@ControllerClass,controller:class,getUserInput,get:user:input,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass:AMapReduceTracer:@ModelClass:AMapReduceTracer,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class:a:map:reduce:tracer:model:class:a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,traceQuit,trace:quit
comp533.controller.TokenCounterController,token:counter:controller,@ControllerClass,controller:class,getUserInput,get:user:input,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass:AMapReduceTracer:@ModelClass:AMapReduceTracer,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class:a:map:reduce:tracer:model:class:a:map:reduce:tracer,comp533.model.ModelInterface,model:interface,@ModelClass,model:class,setInputString,set:input:string
comp533.model.TokenCounterModel,token:counter:model,@ModelClass,model:class,setInputString,set:input:string,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass:AMapReduceTracer:@ModelClass:AMapReduceTracer:AMapReduceTracer:@ModelClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class:a:map:reduce:tracer:model:class:a:map:reduce:tracer:a:map:reduce:tracer:model:class,java.beans.PropertyChangeEvent,property:change:event,java.beans.PropertyChangeEvent,property:change:event,PropertyChangeEvent,property:change:event
comp533.model.TokenCounterModel,token:counter:model,@ModelClass,model:class,setInputString,set:input:string,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass:AMapReduceTracer:@ModelClass:AMapReduceTracer:AMapReduceTracer:@ModelClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class:a:map:reduce:tracer:model:class:a:map:reduce:tracer:a:map:reduce:tracer:model:class,comp533.view.TokenCounterView,token:counter:view,@ViewClass,view:class,propertyChange,property:change
comp533.model.TokenCounterModel,token:counter:model,@ModelClass,model:class,setInputString,set:input:string,AMapReduceTracer:AMapReduceTracer:MapReduceConfiguration:AMapReduceTracer:@IntSummingMapperClass+@TokenCountingMapperClass:AMapReduceTracer:@ReducerClass:AMapReduceTracer:@ModelClass:AMapReduceTracer:AMapReduceTracer:@ModelClass,a:map:reduce:tracer:a:map:reduce:tracer:map:reduce:configuration:a:map:reduce:tracer:int:summing:mapper:class:token:counting:mapper:class:a:map:reduce:tracer:reducer:class:a:map:reduce:tracer:model:class:a:map:reduce:tracer:a:map:reduce:tracer:model:class,java.beans.PropertyChangeSupport,property:change:support,java.beans.PropertyChangeSupport,property:change:support,firePropertyChange,fire:property:change
