#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested,SessionNumber,SessionRunNumber,IsSuite,SuiteTests,PrerequisiteTests,ExtraCreditTests,TestScores,FailFromPreReq,
0,Fri Apr 01 12:34:56 EDT 2022,0,0,A5SpecificStyleSuite, , ,A5ExpectedCalls+ A5ExpectedInterfaces+ A5ExpectedSignatures+ A5ProjectOrganization+ A5SpuriousCalls+ A5TaggedClassesDefined+ ,A5AccessModifiersMatched A5InterfaceAsType A5MnemonicNames A5NamedConstants A5NoCheckstyleWarnings A5PublicMethodsOverride GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMIStaticArguments GIPCRMITwoClientConnection GIPCRMITwoClientReadWriteNonAtomic ,0,0,true,A5ExpectedCalls A5ExpectedInterfaces A5ExpectedSignatures A5ProjectOrganization A5SpuriousCalls A5TaggedClassesDefined , ,A5ProjectOrganization ,A5ExpectedCalls-(0.0/20.0) A5ExpectedInterfaces-(0.0/5.0) A5ExpectedSignatures-(0.0/5.0) A5ProjectOrganization-(0.0/10.0) A5SpuriousCalls-(0.0/20.0) A5TaggedClassesDefined-(0.0/10.0) , ,
11,Fri Apr 01 18:58:57 EDT 2022,42,0,A5TaggedClassesDefined,A5ExpectedCalls A5ExpectedSignatures GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMITwoClientConnection ,A5TaggedClassesDefined GIPCRMIStaticArguments GIPCRMITwoClientReadWriteNonAtomic ,A5AccessModifiersMatched A5ExpectedInterfaces A5InterfaceAsType A5MnemonicNames A5NamedConstants A5NoCheckstyleWarnings A5ProjectOrganization A5PublicMethodsOverride A5SpuriousCalls , ,1,2,false, , , ,A5TaggedClassesDefined-(2.5/10.0) , ,
12,Fri Apr 01 18:59:33 EDT 2022,42,0,A5GeneralStyleSuite,A5ExpectedCalls A5ExpectedSignatures GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMITwoClientConnection ,A5AccessModifiersMatched+ A5InterfaceAsType+ A5MnemonicNames+ A5NamedConstants+ A5PublicMethodsOverride+ A5TaggedClassesDefined GIPCRMIStaticArguments GIPCRMITwoClientReadWriteNonAtomic ,A5ExpectedInterfaces A5NoCheckstyleWarnings A5ProjectOrganization A5SpuriousCalls , ,1,3,true,A5AccessModifiersMatched A5InterfaceAsType A5MnemonicNames A5NamedConstants A5NoCheckstyleWarnings A5PublicMethodsOverride , ,A5AccessModifiersMatched A5MnemonicNames A5NoCheckstyleWarnings A5PublicMethodsOverride ,A5AccessModifiersMatched-(1.3/5.0) A5InterfaceAsType-(5.4/10.0) A5MnemonicNames-(9.3/10.0) A5NamedConstants-(0.9/1.0) A5NoCheckstyleWarnings-(0.0/10.0) A5PublicMethodsOverride-(1.0/5.0) , ,
13,Fri Apr 01 18:59:42 EDT 2022,42,0,A5SpecificStyleSuite,A5ExpectedCalls A5ExpectedSignatures GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMITwoClientConnection ,A5AccessModifiersMatched A5InterfaceAsType A5MnemonicNames A5NamedConstants A5PublicMethodsOverride A5TaggedClassesDefined GIPCRMIStaticArguments GIPCRMITwoClientReadWriteNonAtomic ,A5ExpectedInterfaces A5NoCheckstyleWarnings A5ProjectOrganization A5SpuriousCalls , ,1,4,true,A5ExpectedCalls A5ExpectedInterfaces A5ExpectedSignatures A5ProjectOrganization A5SpuriousCalls A5TaggedClassesDefined , ,A5ProjectOrganization ,A5ExpectedCalls-(20.0/20.0) A5ExpectedInterfaces-(0.0/5.0) A5ExpectedSignatures-(5.0/5.0) A5ProjectOrganization-(0.0/10.0) A5SpuriousCalls-(0.0/20.0) A5TaggedClassesDefined-(2.5/10.0) , ,
14,Fri Apr 01 18:59:43 EDT 2022,42,0,A5GeneralStyleSuite,A5ExpectedCalls A5ExpectedSignatures GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMITwoClientConnection ,A5AccessModifiersMatched A5InterfaceAsType A5MnemonicNames A5NamedConstants A5PublicMethodsOverride A5TaggedClassesDefined GIPCRMIStaticArguments GIPCRMITwoClientReadWriteNonAtomic ,A5ExpectedInterfaces A5NoCheckstyleWarnings A5ProjectOrganization A5SpuriousCalls , ,1,5,true,A5AccessModifiersMatched A5InterfaceAsType A5MnemonicNames A5NamedConstants A5NoCheckstyleWarnings A5PublicMethodsOverride , ,A5AccessModifiersMatched A5MnemonicNames A5NoCheckstyleWarnings A5PublicMethodsOverride ,A5AccessModifiersMatched-(1.3/5.0) A5InterfaceAsType-(5.4/10.0) A5MnemonicNames-(9.3/10.0) A5NamedConstants-(0.9/1.0) A5NoCheckstyleWarnings-(0.0/10.0) A5PublicMethodsOverride-(1.0/5.0) , ,
15,Fri Apr 01 18:59:47 EDT 2022,42,0,A5SpecificStyleSuite,A5ExpectedCalls A5ExpectedSignatures GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMITwoClientConnection ,A5AccessModifiersMatched A5InterfaceAsType A5MnemonicNames A5NamedConstants A5PublicMethodsOverride A5TaggedClassesDefined GIPCRMIStaticArguments GIPCRMITwoClientReadWriteNonAtomic ,A5ExpectedInterfaces A5NoCheckstyleWarnings A5ProjectOrganization A5SpuriousCalls , ,1,6,true,A5ExpectedCalls A5ExpectedInterfaces A5ExpectedSignatures A5ProjectOrganization A5SpuriousCalls A5TaggedClassesDefined , ,A5ProjectOrganization ,A5ExpectedCalls-(20.0/20.0) A5ExpectedInterfaces-(0.0/5.0) A5ExpectedSignatures-(5.0/5.0) A5ProjectOrganization-(0.0/10.0) A5SpuriousCalls-(0.0/20.0) A5TaggedClassesDefined-(2.5/10.0) , ,
16,Fri Apr 01 19:03:16 EDT 2022,42,0,A5SpecificStyleSuite,A5ExpectedCalls A5ExpectedSignatures GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMITwoClientConnection ,A5AccessModifiersMatched A5InterfaceAsType A5MnemonicNames A5NamedConstants A5PublicMethodsOverride A5TaggedClassesDefined GIPCRMIStaticArguments GIPCRMITwoClientReadWriteNonAtomic ,A5ExpectedInterfaces A5NoCheckstyleWarnings A5ProjectOrganization A5SpuriousCalls , ,2,0,true,A5ExpectedCalls A5ExpectedInterfaces A5ExpectedSignatures A5ProjectOrganization A5SpuriousCalls A5TaggedClassesDefined , ,A5ProjectOrganization ,A5ExpectedCalls-(20.0/20.0) A5ExpectedInterfaces-(0.0/5.0) A5ExpectedSignatures-(5.0/5.0) A5ProjectOrganization-(0.0/10.0) A5SpuriousCalls-(0.0/20.0) A5TaggedClassesDefined-(2.5/10.0) , ,
17,Fri Apr 01 19:16:06 EDT 2022,38,-4,A5SpecificStyleSuite,A5SpuriousCalls+ GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMITwoClientConnection ,A5AccessModifiersMatched A5ExpectedCalls- A5ExpectedSignatures- A5InterfaceAsType A5MnemonicNames A5NamedConstants A5PublicMethodsOverride A5TaggedClassesDefined GIPCRMIStaticArguments GIPCRMITwoClientReadWriteNonAtomic ,A5ExpectedInterfaces A5NoCheckstyleWarnings A5ProjectOrganization , ,3,0,true,A5ExpectedCalls A5ExpectedInterfaces A5ExpectedSignatures A5ProjectOrganization A5SpuriousCalls A5TaggedClassesDefined , ,A5ProjectOrganization ,A5ExpectedCalls-(6.7/20.0) A5ExpectedInterfaces-(0.0/5.0) A5ExpectedSignatures-(2.5/5.0) A5ProjectOrganization-(0.0/10.0) A5SpuriousCalls-(20.0/20.0) A5TaggedClassesDefined-(9.2/10.0) , ,
18,Fri Apr 01 19:16:49 EDT 2022,42,4,A5SpecificStyleSuite,A5SpuriousCalls A5TaggedClassesDefined+ GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMITwoClientConnection ,A5AccessModifiersMatched A5ExpectedCalls A5ExpectedSignatures A5InterfaceAsType A5MnemonicNames A5NamedConstants A5PublicMethodsOverride GIPCRMIStaticArguments GIPCRMITwoClientReadWriteNonAtomic ,A5ExpectedInterfaces A5NoCheckstyleWarnings A5ProjectOrganization , ,4,0,true,A5ExpectedCalls A5ExpectedInterfaces A5ExpectedSignatures A5ProjectOrganization A5SpuriousCalls A5TaggedClassesDefined , ,A5ProjectOrganization ,A5ExpectedCalls-(5.7/20.0) A5ExpectedInterfaces-(0.0/5.0) A5ExpectedSignatures-(2.5/5.0) A5ProjectOrganization-(0.0/10.0) A5SpuriousCalls-(20.0/20.0) A5TaggedClassesDefined-(10.0/10.0) , ,
19,Fri Apr 01 19:16:54 EDT 2022,42,0,A5ExpectedInterfaces,A5SpuriousCalls A5TaggedClassesDefined GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMITwoClientConnection ,A5AccessModifiersMatched A5ExpectedCalls A5ExpectedSignatures A5InterfaceAsType A5MnemonicNames A5NamedConstants A5PublicMethodsOverride GIPCRMIStaticArguments GIPCRMITwoClientReadWriteNonAtomic ,A5ExpectedInterfaces A5NoCheckstyleWarnings A5ProjectOrganization , ,4,1,false, , , ,A5ExpectedInterfaces-(0.0/5.0) , ,
20,Fri Apr 01 19:19:39 EDT 2022,42,0,A5SpecificStyleSuite,A5SpuriousCalls A5TaggedClassesDefined GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMITwoClientConnection ,A5AccessModifiersMatched A5ExpectedCalls A5ExpectedSignatures A5InterfaceAsType A5MnemonicNames A5NamedConstants A5PublicMethodsOverride GIPCRMIStaticArguments GIPCRMITwoClientReadWriteNonAtomic ,A5ExpectedInterfaces A5NoCheckstyleWarnings A5ProjectOrganization , ,5,0,true,A5ExpectedCalls A5ExpectedInterfaces A5ExpectedSignatures A5ProjectOrganization A5SpuriousCalls A5TaggedClassesDefined , ,A5ProjectOrganization ,A5ExpectedCalls-(5.7/20.0) A5ExpectedInterfaces-(0.0/5.0) A5ExpectedSignatures-(3.3/5.0) A5ProjectOrganization-(0.0/10.0) A5SpuriousCalls-(20.0/20.0) A5TaggedClassesDefined-(10.0/10.0) , ,
21,Fri Apr 01 19:21:09 EDT 2022,47,5,A5SpecificStyleSuite,A5ExpectedInterfaces+ A5SpuriousCalls A5TaggedClassesDefined GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMITwoClientConnection ,A5AccessModifiersMatched A5ExpectedCalls A5ExpectedSignatures A5InterfaceAsType A5MnemonicNames A5NamedConstants A5PublicMethodsOverride GIPCRMIStaticArguments GIPCRMITwoClientReadWriteNonAtomic ,A5NoCheckstyleWarnings A5ProjectOrganization , ,6,0,true,A5ExpectedCalls A5ExpectedInterfaces A5ExpectedSignatures A5ProjectOrganization A5SpuriousCalls A5TaggedClassesDefined , ,A5ProjectOrganization ,A5ExpectedCalls-(5.7/20.0) A5ExpectedInterfaces-(5.0/5.0) A5ExpectedSignatures-(2.5/5.0) A5ProjectOrganization-(0.0/10.0) A5SpuriousCalls-(20.0/20.0) A5TaggedClassesDefined-(10.0/10.0) , ,
22,Fri Apr 01 19:21:13 EDT 2022,47,0,A5ExpectedCalls,A5ExpectedInterfaces A5SpuriousCalls A5TaggedClassesDefined GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMITwoClientConnection ,A5AccessModifiersMatched A5ExpectedCalls A5ExpectedSignatures A5InterfaceAsType A5MnemonicNames A5NamedConstants A5PublicMethodsOverride GIPCRMIStaticArguments GIPCRMITwoClientReadWriteNonAtomic ,A5NoCheckstyleWarnings A5ProjectOrganization , ,6,1,false, , , ,A5ExpectedCalls-(5.7/20.0) , ,
23,Fri Apr 01 19:29:59 EDT 2022,52,5,A5SpecificStyleSuite,A5ExpectedCalls+ A5ExpectedInterfaces A5SpuriousCalls A5TaggedClassesDefined GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMITwoClientConnection ,A5AccessModifiersMatched A5ExpectedSignatures A5InterfaceAsType A5MnemonicNames A5NamedConstants A5PublicMethodsOverride GIPCRMIStaticArguments GIPCRMITwoClientReadWriteNonAtomic ,A5NoCheckstyleWarnings A5ProjectOrganization , ,7,0,true,A5ExpectedCalls A5ExpectedInterfaces A5ExpectedSignatures A5ProjectOrganization A5SpuriousCalls A5TaggedClassesDefined , ,A5ProjectOrganization ,A5ExpectedCalls-(20.0/20.0) A5ExpectedInterfaces-(5.0/5.0) A5ExpectedSignatures-(2.5/5.0) A5ProjectOrganization-(0.0/10.0) A5SpuriousCalls-(20.0/20.0) A5TaggedClassesDefined-(10.0/10.0) , ,
24,Fri Apr 01 19:30:46 EDT 2022,52,0,A5GeneralStyleSuite,A5ExpectedCalls A5ExpectedInterfaces A5SpuriousCalls A5TaggedClassesDefined GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMITwoClientConnection ,A5AccessModifiersMatched A5ExpectedSignatures A5InterfaceAsType A5MnemonicNames A5NamedConstants A5PublicMethodsOverride GIPCRMIStaticArguments GIPCRMITwoClientReadWriteNonAtomic ,A5NoCheckstyleWarnings A5ProjectOrganization , ,7,1,true,A5AccessModifiersMatched A5InterfaceAsType A5MnemonicNames A5NamedConstants A5NoCheckstyleWarnings A5PublicMethodsOverride , ,A5AccessModifiersMatched A5MnemonicNames A5NoCheckstyleWarnings A5PublicMethodsOverride ,A5AccessModifiersMatched-(1.5/5.0) A5InterfaceAsType-(5.6/10.0) A5MnemonicNames-(9.3/10.0) A5NamedConstants-(0.9/1.0) A5NoCheckstyleWarnings-(0.0/10.0) A5PublicMethodsOverride-(0.7/5.0) , ,
