Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
comp533.main.SummerModel,summer:model,SummerModel,summer:model,mergeIntermediaryResults,merge:intermediary:results,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.util.Map,map,java.util.Map,map,get,get
comp533.main.SummerModel,summer:model,SummerModel,summer:model,mergeIntermediaryResults,merge:intermediary:results,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.util.Map,map,java.util.Map,map,put,put
comp533.main.SummerModel,summer:model,SummerModel,summer:model,mergeIntermediaryResults,merge:intermediary:results,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.util.Map,map,java.util.Map,map,put,put
comp533.main.SummerModel,summer:model,SummerModel,summer:model,mergeIntermediaryResults,merge:intermediary:results,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,traceRemoteResult,trace:remote:result
comp533.main.SummerModel,summer:model,SummerModel,summer:model,mergeIntermediaryResults,merge:intermediary:results,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.beans.PropertyChangeEvent,property:change:event,java.beans.PropertyChangeEvent,property:change:event,PropertyChangeEvent,property:change:event
comp533.main.SummerModel,summer:model,SummerModel,summer:model,mergeIntermediaryResults,merge:intermediary:results,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.beans.PropertyChangeSupport,property:change:support,java.beans.PropertyChangeSupport,property:change:support,firePropertyChange,fire:property:change
comp533.main.SummerModel,summer:model,SummerModel,summer:model,mergeIntermediaryResults,merge:intermediary:results,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,comp533.view.ViewInterface,view:interface,@ViewClass,view:class,propertyChange,property:change
comp533.main.SummerModel,summer:model,SummerModel,summer:model,updateResult,update:result,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,comp533.joiner.JoinerInterface,joiner:interface,@JoinerClass,joiner:class,join,join
comp533.main.SummerModel,summer:model,SummerModel,summer:model,setInputString,set:input:string,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.beans.PropertyChangeEvent,property:change:event,java.beans.PropertyChangeEvent,property:change:event,PropertyChangeEvent,property:change:event
comp533.main.SummerModel,summer:model,SummerModel,summer:model,setInputString,set:input:string,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.beans.PropertyChangeSupport,property:change:support,java.beans.PropertyChangeSupport,property:change:support,firePropertyChange,fire:property:change
comp533.main.SummerModel,summer:model,SummerModel,summer:model,setInputString,set:input:string,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,comp533.view.ViewInterface,view:interface,@ViewClass,view:class,propertyChange,property:change
comp533.main.SummerModel,summer:model,SummerModel,summer:model,setInputString,set:input:string,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,util.trace.Tracer,tracer,util.trace.Tracer,tracer,error,error
comp533.main.SummerModel,summer:model,SummerModel,summer:model,setInputString,set:input:string,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,comp533.main.Arrays,arrays,comp533.main.Arrays,arrays,toString,to:string
comp533.main.SummerModel,summer:model,SummerModel,summer:model,setInputString,set:input:string,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,InterruptedException,interrupted:exception,java.lang.InterruptedException,interrupted:exception,getStackTrace,get:stack:trace
comp533.main.SummerModel,summer:model,SummerModel,summer:model,updateThreads,update:threads,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,comp533.joiner.Joiner,joiner,@JoinerClass,joiner:class,Joiner,joiner
comp533.main.SummerModel,summer:model,SummerModel,summer:model,updateThreads,update:threads,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,comp533.barrier.Barrier,barrier,@BarrierClass,barrier:class,Barrier,barrier
comp533.main.SummerModel,summer:model,SummerModel,summer:model,updateThreads,update:threads,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.util.ArrayList,array:list,java.util.ArrayList,array:list,ArrayList,array:list
comp533.main.SummerModel,summer:model,SummerModel,summer:model,updateThreads,update:threads,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.util.List,list,java.util.List,list,add,add
comp533.main.SummerModel,summer:model,SummerModel,summer:model,updateThreads,update:threads,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,comp533.main.Stack,stack,comp533.main.Stack,stack,add,add
comp533.main.SummerModel,summer:model,SummerModel,summer:model,updateThreads,update:threads,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,Thread,thread,java.lang.Thread,thread,Thread,thread
comp533.main.SummerModel,summer:model,SummerModel,summer:model,updateThreads,update:threads,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.util.List,list,java.util.List,list,add,add
comp533.main.SummerModel,summer:model,SummerModel,summer:model,updateThreads,update:threads,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.util.concurrent.ConcurrentLinkedQueue,concurrent:linked:queue,java.util.concurrent.ConcurrentLinkedQueue,concurrent:linked:queue,ConcurrentLinkedQueue,concurrent:linked:queue
comp533.main.SummerModel,summer:model,SummerModel,summer:model,updateThreads,update:threads,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.util.ArrayList,array:list,java.util.ArrayList,array:list,add,add
comp533.main.SummerModel,summer:model,SummerModel,summer:model,updateThreads,update:threads,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.beans.PropertyChangeEvent,property:change:event,java.beans.PropertyChangeEvent,property:change:event,PropertyChangeEvent,property:change:event
comp533.main.SummerModel,summer:model,SummerModel,summer:model,updateThreads,update:threads,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.beans.PropertyChangeSupport,property:change:support,java.beans.PropertyChangeSupport,property:change:support,firePropertyChange,fire:property:change
comp533.main.SummerModel,summer:model,SummerModel,summer:model,registerClient,register:client,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,traceRegister,trace:register
comp533.main.SummerModel,summer:model,SummerModel,summer:model,registerClient,register:client,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,comp533.main.Stack,stack,comp533.main.Stack,stack,add,add
comp533.main.SummerModel,summer:model,SummerModel,summer:model,registerClient,register:client,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.util.List,list,java.util.List,list,add,add
comp533.main.SummerModel,summer:model,SummerModel,summer:model,callClientQuit,call:client:quit,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,comp533.client.ClientInterface,client:interface,@ClientTokenCounter+@RemoteClientFacebookMapReduce+@RemoteClientObjectClass+@RemoteClientObjectInterface,client:token:counter:remote:client:facebook:map:reduce:remote:client:object:class:remote:client:object:interface,quit,quit
comp533.main.SummerModel,summer:model,SummerModel,summer:model,interruptThreads,interrupt:threads,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.util.List,list,java.util.List,list,get,get
comp533.main.SummerModel,summer:model,SummerModel,summer:model,interruptThreads,interrupt:threads,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.util.List,list,java.util.List,list,get,get
comp533.main.SummerModel,summer:model,SummerModel,summer:model,setNumThreads,set:num:threads,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.beans.PropertyChangeEvent,property:change:event,java.beans.PropertyChangeEvent,property:change:event,PropertyChangeEvent,property:change:event
comp533.main.SummerModel,summer:model,SummerModel,summer:model,setNumThreads,set:num:threads,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.beans.PropertyChangeSupport,property:change:support,java.beans.PropertyChangeSupport,property:change:support,firePropertyChange,fire:property:change
facebook.FacebookModel,facebook:model,FacebookModel,facebook:model,addPropertyChangeListener,add:property:change:listener,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable:AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote:a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.beans.PropertyChangeSupport,property:change:support,java.beans.PropertyChangeSupport,property:change:support,addPropertyChangeListener,add:property:change:listener
facebook.FacebookModel,facebook:model,FacebookModel,facebook:model,matchSlavesToClients,match:slaves:to:clients,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable:AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote:a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,facebook.Stack,stack,facebook.Stack,stack,isEmpty,is:empty
facebook.FacebookModel,facebook:model,FacebookModel,facebook:model,matchSlavesToClients,match:slaves:to:clients,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable:AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote:a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,facebook.Stack,stack,facebook.Stack,stack,isEmpty,is:empty
facebook.FacebookModel,facebook:model,FacebookModel,facebook:model,matchSlavesToClients,match:slaves:to:clients,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable:AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote:a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
facebook.FacebookModel,facebook:model,FacebookModel,facebook:model,matchSlavesToClients,match:slaves:to:clients,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable:AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote:a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
facebook.FacebookModel,facebook:model,FacebookModel,facebook:model,matchSlavesToClients,match:slaves:to:clients,AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable:AMapReduceTracer:@ModelClass:PropertyListenerRegisterer:@ModelClass+@RemoteModelInterface:Remote:Serializable,a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote:a:map:reduce:tracer:model:class:property:listener:model:class:remote:model:interface:remote,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
