#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested,SessionNumber,SessionRunNumber,IsSuite,SuiteTests,PrerequisiteTests,ExtraCreditTests,TestScores,FailFromPreReq,
10,Tue May 03 17:27:08 EDT 2022,45,25,Assignment6TwoClientSuite,GIPCRMINIOClientMetaStateBroadcast+ GIPCRMINIOClientMetaStateNoBroadcast+ GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOServerMetaStateBroadcast+ GIPCRMINIOServerMetaStateNoBroadcast+ GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteNonAtomic+ , ,A6AccessModifiersMatched A6ExpectedCalls A6ExpectedInterfaces A6ExpectedSignatures A6InterfaceAsType A6MnemonicNames A6NamedConstants A6NoCheckstyleWarnings A6ProjectOrganization A6PublicMethodsOverride A6TaggedClassesDefined , ,4,0,true,GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteNonAtomic , ,GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast ,GIPCRMINIOClientMetaStateBroadcast-(5.0/5.0) GIPCRMINIOClientMetaStateNoBroadcast-(5.0/5.0) GIPCRMINIOServerMetaStateBroadcast-(20.0/20.0) GIPCRMINIOServerMetaStateNoBroadcast-(20.0/20.0) GIPCRMINIOTwoClientConnection-(20.0/20.0) GIPCRMINIOTwoClientReadWriteNonAtomic-(20.0/20.0) , ,
11,Tue May 03 17:28:22 EDT 2022,45,0,Assignment6OneClientSuite,GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteNonAtomic , ,A6AccessModifiersMatched A6ExpectedCalls A6ExpectedInterfaces A6ExpectedSignatures A6InterfaceAsType A6MnemonicNames A6NamedConstants A6NoCheckstyleWarnings A6ProjectOrganization A6PublicMethodsOverride A6TaggedClassesDefined , ,4,1,true,GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOStaticArguments , , ,GIPCRMINIOOneClientConnection-(20.0/20.0) GIPCRMINIOOneClientReadWriteNonAtomic-(20.0/20.0) GIPCRMINIOStaticArguments-(20.0/20.0) , ,
12,Tue May 03 17:28:22 EDT 2022,45,0,GIPCRMINIOTwoClientReadWriteNonAtomic,GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteNonAtomic , ,A6AccessModifiersMatched A6ExpectedCalls A6ExpectedInterfaces A6ExpectedSignatures A6InterfaceAsType A6MnemonicNames A6NamedConstants A6NoCheckstyleWarnings A6ProjectOrganization A6PublicMethodsOverride A6TaggedClassesDefined , ,4,2,false, , , ,GIPCRMINIOTwoClientReadWriteNonAtomic-(20.0/20.0) , ,
13,Tue May 03 17:28:25 EDT 2022,45,0,Assignment6OneClientSuite,GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteNonAtomic , ,A6AccessModifiersMatched A6ExpectedCalls A6ExpectedInterfaces A6ExpectedSignatures A6InterfaceAsType A6MnemonicNames A6NamedConstants A6NoCheckstyleWarnings A6ProjectOrganization A6PublicMethodsOverride A6TaggedClassesDefined , ,4,3,true,GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOStaticArguments , , ,GIPCRMINIOOneClientConnection-(20.0/20.0) GIPCRMINIOOneClientReadWriteNonAtomic-(20.0/20.0) GIPCRMINIOStaticArguments-(20.0/20.0) , ,
14,Tue May 03 17:28:30 EDT 2022,60,15,A6GeneralStyleSuite,A6MnemonicNames+ A6NamedConstants+ A6PublicMethodsOverride+ GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteNonAtomic ,A6AccessModifiersMatched+ A6InterfaceAsType+ ,A6ExpectedCalls A6ExpectedInterfaces A6ExpectedSignatures A6NoCheckstyleWarnings A6ProjectOrganization A6TaggedClassesDefined , ,4,4,true,A6AccessModifiersMatched A6InterfaceAsType A6MnemonicNames A6NamedConstants A6NoCheckstyleWarnings A6PublicMethodsOverride , ,A6AccessModifiersMatched A6NoCheckstyleWarnings ,A6AccessModifiersMatched-(1.3/5.0) A6InterfaceAsType-(9.4/10.0) A6MnemonicNames-(15.0/15.0) A6NamedConstants-(1.0/1.0) A6NoCheckstyleWarnings-(0.0/20.0) A6PublicMethodsOverride-(10.0/10.0) , ,
15,Tue May 03 17:28:33 EDT 2022,80,20,A6SpecificStyleSuite,A6ExpectedCalls+ A6ExpectedInterfaces+ A6ExpectedSignatures+ A6MnemonicNames A6NamedConstants A6PublicMethodsOverride A6TaggedClassesDefined+ GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteNonAtomic ,A6AccessModifiersMatched A6InterfaceAsType ,A6NoCheckstyleWarnings A6ProjectOrganization , ,4,5,true,A6ExpectedCalls A6ExpectedInterfaces A6ExpectedSignatures A6ProjectOrganization A6TaggedClassesDefined , ,A6ProjectOrganization ,A6ExpectedCalls-(20.0/20.0) A6ExpectedInterfaces-(5.0/5.0) A6ExpectedSignatures-(5.0/5.0) A6ProjectOrganization-(0.0/10.0) A6TaggedClassesDefined-(10.0/10.0) , ,
16,Tue May 03 17:28:36 EDT 2022,80,0,A6InterfaceAsType,A6ExpectedCalls A6ExpectedInterfaces A6ExpectedSignatures A6MnemonicNames A6NamedConstants A6PublicMethodsOverride A6TaggedClassesDefined GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteNonAtomic ,A6AccessModifiersMatched A6InterfaceAsType ,A6NoCheckstyleWarnings A6ProjectOrganization , ,4,6,false, , , ,A6InterfaceAsType-(9.4/10.0) , ,
17,Tue May 03 17:44:40 EDT 2022,80,0,Assignment6OneClientSuite,A6ExpectedCalls A6ExpectedInterfaces A6ExpectedSignatures A6MnemonicNames A6NamedConstants A6PublicMethodsOverride A6TaggedClassesDefined GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteNonAtomic ,A6AccessModifiersMatched A6InterfaceAsType ,A6NoCheckstyleWarnings A6ProjectOrganization , ,5,0,true,GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOStaticArguments , , ,GIPCRMINIOOneClientConnection-(20.0/20.0) GIPCRMINIOOneClientReadWriteNonAtomic-(20.0/20.0) GIPCRMINIOStaticArguments-(20.0/20.0) , ,
18,Tue May 03 17:49:25 EDT 2022,80,0,Assignment6TwoClientSuite,A6ExpectedCalls A6ExpectedInterfaces A6ExpectedSignatures A6MnemonicNames A6NamedConstants A6PublicMethodsOverride A6TaggedClassesDefined GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteNonAtomic ,A6AccessModifiersMatched A6InterfaceAsType ,A6NoCheckstyleWarnings A6ProjectOrganization , ,5,1,true,GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteNonAtomic , ,GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast ,GIPCRMINIOClientMetaStateBroadcast-(5.0/5.0) GIPCRMINIOClientMetaStateNoBroadcast-(5.0/5.0) GIPCRMINIOServerMetaStateBroadcast-(20.0/20.0) GIPCRMINIOServerMetaStateNoBroadcast-(20.0/20.0) GIPCRMINIOTwoClientConnection-(20.0/20.0) GIPCRMINIOTwoClientReadWriteNonAtomic-(20.0/20.0) , ,
19,Tue May 03 17:56:15 EDT 2022,80,0,Assignment6OneClientSuite,A6ExpectedCalls A6ExpectedInterfaces A6ExpectedSignatures A6MnemonicNames A6NamedConstants A6PublicMethodsOverride A6TaggedClassesDefined GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteNonAtomic ,A6AccessModifiersMatched A6InterfaceAsType ,A6NoCheckstyleWarnings A6ProjectOrganization , ,6,0,true,GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOStaticArguments , , ,GIPCRMINIOOneClientConnection-(20.0/20.0) GIPCRMINIOOneClientReadWriteNonAtomic-(20.0/20.0) GIPCRMINIOStaticArguments-(20.0/20.0) , ,
20,Tue May 03 18:01:14 EDT 2022,80,0,Assignment6TwoClientSuite,A6ExpectedCalls A6ExpectedInterfaces A6ExpectedSignatures A6MnemonicNames A6NamedConstants A6PublicMethodsOverride A6TaggedClassesDefined GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteNonAtomic ,A6AccessModifiersMatched A6InterfaceAsType ,A6NoCheckstyleWarnings A6ProjectOrganization , ,6,1,true,GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteNonAtomic , ,GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast ,GIPCRMINIOClientMetaStateBroadcast-(5.0/5.0) GIPCRMINIOClientMetaStateNoBroadcast-(5.0/5.0) GIPCRMINIOServerMetaStateBroadcast-(20.0/20.0) GIPCRMINIOServerMetaStateNoBroadcast-(20.0/20.0) GIPCRMINIOTwoClientConnection-(20.0/20.0) GIPCRMINIOTwoClientReadWriteNonAtomic-(20.0/20.0) , ,
21,Tue May 03 18:03:13 EDT 2022,80,0,Assignment6OneClientSuite,A6ExpectedCalls A6ExpectedInterfaces A6ExpectedSignatures A6MnemonicNames A6NamedConstants A6PublicMethodsOverride A6TaggedClassesDefined GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteNonAtomic ,A6AccessModifiersMatched A6InterfaceAsType ,A6NoCheckstyleWarnings A6ProjectOrganization , ,7,0,true,GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOStaticArguments , , ,GIPCRMINIOOneClientConnection-(20.0/20.0) GIPCRMINIOOneClientReadWriteNonAtomic-(20.0/20.0) GIPCRMINIOStaticArguments-(20.0/20.0) , ,
22,Tue May 03 18:07:38 EDT 2022,80,0,Assignment6OneClientSuite,A6ExpectedCalls A6ExpectedInterfaces A6ExpectedSignatures A6MnemonicNames A6NamedConstants A6PublicMethodsOverride A6TaggedClassesDefined GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteNonAtomic ,A6AccessModifiersMatched A6InterfaceAsType ,A6NoCheckstyleWarnings A6ProjectOrganization , ,8,0,true,GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOStaticArguments , , ,GIPCRMINIOOneClientConnection-(20.0/20.0) GIPCRMINIOOneClientReadWriteNonAtomic-(20.0/20.0) GIPCRMINIOStaticArguments-(20.0/20.0) , ,
23,Tue May 03 18:18:36 EDT 2022,80,0,Assignment6OneClientSuite,A6ExpectedCalls A6ExpectedInterfaces A6ExpectedSignatures A6MnemonicNames A6NamedConstants A6PublicMethodsOverride A6TaggedClassesDefined GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteNonAtomic ,A6AccessModifiersMatched A6InterfaceAsType ,A6NoCheckstyleWarnings A6ProjectOrganization , ,9,0,true,GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOStaticArguments , , ,GIPCRMINIOOneClientConnection-(20.0/20.0) GIPCRMINIOOneClientReadWriteNonAtomic-(20.0/20.0) GIPCRMINIOStaticArguments-(20.0/20.0) , ,
24,Tue May 03 18:23:11 EDT 2022,80,0,Assignment6TwoClientSuite,A6ExpectedCalls A6ExpectedInterfaces A6ExpectedSignatures A6MnemonicNames A6NamedConstants A6PublicMethodsOverride A6TaggedClassesDefined GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteNonAtomic ,A6AccessModifiersMatched A6InterfaceAsType ,A6NoCheckstyleWarnings A6ProjectOrganization , ,9,1,true,GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteNonAtomic , ,GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast ,GIPCRMINIOClientMetaStateBroadcast-(5.0/5.0) GIPCRMINIOClientMetaStateNoBroadcast-(5.0/5.0) GIPCRMINIOServerMetaStateBroadcast-(20.0/20.0) GIPCRMINIOServerMetaStateNoBroadcast-(20.0/20.0) GIPCRMINIOTwoClientConnection-(20.0/20.0) GIPCRMINIOTwoClientReadWriteNonAtomic-(20.0/20.0) , ,
